timestamp,value
2025-09-05T22:25:25.109118+00:00,0
2025-09-05T22:25:40.156796+00:00,0
2025-09-05T22:25:54.620174+00:00,0
2025-09-05T22:26:09.711990+00:00,0
2025-09-05T22:26:24.968492+00:00,0
2025-09-05T22:26:39.284466+00:00,0
2025-09-05T22:26:54.488690+00:00,0
2025-09-05T22:27:08.921066+00:00,0
2025-09-05T22:27:24.034938+00:00,0.02258917075154171
2025-09-05T22:27:38.468114+00:00,0.02298427875333272
2025-09-05T22:27:53.591295+00:00,0.06776343034311204
2025-09-05T22:28:07.919228+00:00,0.04561795081830264
2025-09-05T22:28:23.000152+00:00,0.11312268393812341
2025-09-05T22:28:37.382294+00:00,0.09087048422678587
2025-09-05T22:28:52.470258+00:00,0.11426913326751754
2025-09-05T22:29:07.657290+00:00,0.04519212855655634
2025-09-05T22:29:21.926383+00:00,0.045218696795226096
2025-09-05T22:29:37.059800+00:00,0.022661348803480783
2025-09-05T22:29:51.784320+00:00,0.02266237592349182
2025-09-05T22:30:06.904391+00:00,0
2025-09-05T22:30:21.470023+00:00,0
2025-09-05T22:30:36.566511+00:00,0
2025-09-05T22:30:51.664216+00:00,0
2025-09-05T22:31:06.755431+00:00,0
2025-09-05T22:31:21.237888+00:00,0
2025-09-05T22:31:36.367341+00:00,0
2025-09-05T22:31:51.047099+00:00,0
2025-09-05T22:32:06.122695+00:00,0
2025-09-05T22:32:20.813701+00:00,0
2025-09-05T22:32:35.981224+00:00,0
2025-09-05T22:32:50.556776+00:00,0.022478982151688174
2025-09-05T22:33:05.754706+00:00,0.02278319511528297
2025-09-05T22:33:20.437656+00:00,0.022485553032176826
2025-09-05T22:33:35.723386+00:00,0
2025-09-05T22:33:50.270169+00:00,0.022452736988638918
2025-09-05T22:34:05.435129+00:00,0.022776967930029153
2025-09-05T22:34:19.942191+00:00,0.02247292013124185
2025-09-05T22:34:35.265470+00:00,0
2025-09-05T22:34:50.397531+00:00,0.022535211267605635
2025-09-05T22:35:06.148005+00:00,0.022550456646747097
2025-09-05T22:35:20.625851+00:00,0.18140234783147963
2025-09-05T22:35:35.916837+00:00,0.15831527723284458
2025-09-05T22:35:50.606983+00:00,0.15983517403268244
2025-09-05T22:36:05.834167+00:00,0
2025-09-05T22:36:20.333310+00:00,0
2025-09-05T22:36:35.610765+00:00,0
2025-09-05T22:36:50.180771+00:00,0
2025-09-05T22:37:05.277907+00:00,0
2025-09-05T22:37:19.817990+00:00,0
2025-09-05T22:37:34.946400+00:00,0
2025-09-05T22:37:49.399032+00:00,0
2025-09-05T22:38:04.515543+00:00,0
2025-09-05T22:38:19.147967+00:00,0
2025-09-05T22:38:34.317994+00:00,0
2025-09-05T22:38:48.962308+00:00,0
2025-09-05T22:39:04.142760+00:00,0
2025-09-05T22:39:19.302273+00:00,0
2025-09-05T22:39:33.842267+00:00,0
2025-09-05T22:39:50.200102+00:00,0.045105999097880024
2025-09-05T22:40:04.963982+00:00,0.06767273465520741
2025-09-05T22:40:20.086026+00:00,0.09046043302083032
2025-09-05T22:40:34.601481+00:00,0.10289787613679016
2025-09-05T22:40:49.932862+00:00,0.08478903240832172
2025-09-05T22:41:05.016951+00:00,0.06280214702302049
2025-09-05T22:41:20.450448+00:00,0.02254181506694919
2025-09-05T22:41:35.436211+00:00,0.0229573681673133
2025-09-05T22:41:50.805169+00:00,0.02262648203457326
2025-09-05T22:42:05.556069+00:00,0
2025-09-05T22:42:21.532088+00:00,0
2025-09-05T22:42:36.180764+00:00,0.02279617936033921
2025-09-05T22:42:51.395347+00:00,0.022495669583605153
2025-09-05T22:43:05.673756+00:00,0.0224804981678394
2025-09-05T22:43:20.948835+00:00,0.37874144505686275
2025-09-05T22:43:55.381002+00:00,0.31326181798501973
2025-09-05T22:44:10.211983+00:00,0
2025-09-05T22:44:26.907859+00:00,0.017365030301977877
2025-09-05T22:44:41.267081+00:00,0.01709489375523531
2025-09-05T22:44:56.470981+00:00,0
2025-09-05T22:45:11.755792+00:00,0
2025-09-05T22:45:27.202352+00:00,0
2025-09-05T22:45:42.321249+00:00,0
2025-09-05T22:45:56.764326+00:00,0
2025-09-05T22:46:12.588805+00:00,0
2025-09-05T22:46:27.710454+00:00,0
2025-09-05T22:46:42.797732+00:00,0
2025-09-05T22:46:57.152168+00:00,0
2025-09-05T22:47:12.313126+00:00,0
2025-09-05T22:47:27.007488+00:00,0
2025-09-05T22:47:51.479709+00:00,0.10099222922520061
2025-09-05T22:54:02.202902+00:00,0.10589881631488876
